Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
351,1.11088378,1.10558184,1.11534624,1.109385,-0.0097644,0.00149878,1633777558465,1633777558259,1633777557902,0.0014,1,0,1
352,1.11088378,1.10558184,1.11541638,1.109385,-0.00983454,0.00149878,1633777558569,1633777558347,1633777557902,0.0014,0,0,1
353,1.11095464,1.10558184,1.11541638,1.109385,-0.00983454,0.00156964,1633777558662,1633777558455,1633777558509,0.0014,1,0,1
354,1.11095364,1.10558184,1.11541638,1.109385,-0.00983454,0.00156864,1633777558767,1633777558538,1633777558680,0.0014,1,0,1
355,1.11134286,1.10558184,1.11580716,1.109385,-0.01022532,0.00195786,1633777558873,1633777558657,1633777558770,0.0018,2,0,1
356,1.11139276,1.10558184,1.11585726,1.109385,-0.01027542,0.00200776,1633777558961,1633777558749,1633777558870,0.0018,2,0,1
357,1.11149256,1.10558184,1.11595746,1.109385,-0.01037562,0.00210756,1633777559160,1633777558955,1633777558870,0.0019,2,0,1
358,1.1108738,1.10558184,1.11608772,1.109385,-0.01050588,0.0014888,1633777560989,1633777560766,1633777560769,0.0013,2,0,1
359,1.11160234,1.10558184,1.11608772,1.109385,-0.01050588,0.00221734,1633777561037,1633777560856,1633777560769,0.002,1,0,1
360,1.11160234,1.10558184,1.11608772,1.10951516,-0.01050588,0.00208718,1633777561133,1633777560856,1633777561049,0.0019,1,0,0
361,1.11160234,1.10558184,1.11608772,1.11038625,-0.01050588,0.00121609,1633777561140,1633777560856,1633777561050,0.0011,1,0,0
362,1.11258038,1.10802755,1.11704964,1.1113875,-0.00902209,0.00119288,1633777571335,1633777571148,1633777571114,0.0011,2,1,1
363,1.1124706,1.10802755,1.11704964,1.1113875,-0.00902209,0.0010831,1633777571673,1633777571451,1633777571548,0.001,1,1,1
364,1.11258138,1.10802755,1.11704964,1.1113875,-0.00902209,0.00119388,1633777571767,1633777571557,1633777571647,0.0011,1,1,1
365,1.1125215,1.10802755,1.1170296,1.1113875,-0.00900205,0.001134,1633777571861,1633777571667,1633777571728,0.001,2,1,1
366,1.11258038,1.10802755,1.11704964,1.1113875,-0.00902209,0.00119288,1633777571968,1633777571756,1633777571879,0.0011,2,1,1
367,1.11276002,1.10802755,1.11723,1.1113875,-0.00920245,0.00137252,1633777572361,1633777572152,1633777571879,0.0012,2,1,1
368,1.11261032,1.10802755,1.11723,1.1113875,-0.00920245,0.00122282,1633777572468,1633777572253,1633777571879,0.0011,1,1,1
369,1.11258038,1.10802755,1.1171298,1.1113875,-0.00910225,0.00119288,1633777572574,1633777572350,1633777572448,0.0011,2,1,1
370,1.11258038,1.10802755,1.11716988,1.1113875,-0.00914233,0.00119288,1633777572660,1633777572439,1633777572448,0.0011,0,1,1
371,1.1124706,1.10802755,1.11716988,1.1113875,-0.00914233,0.0010831,1633777572773,1633777572552,1633777572690,0.001,1,1,1
372,1.11261032,1.10802755,1.11714984,1.1113875,-0.00912229,0.00122282,1633777572969,1633777572759,1633777572690,0.0011,2,1,1
373,1.11639274,1.11153141,1.12104762,1.1153925,-0.00951621,0.00100024,1633777658170,1633777657957,1633777657882,0.0009,2,0,1
374,1.1084786,1.10386485,1.11293142,1.10725234,-0.00906657,0.00122626,1633778463000,1633778462765,1633778462685,0.0011,1,0,1
375,1.10848858,1.10386485,1.11294144,1.10725234,-0.00907659,0.00123624,1633778463392,1633778463148,1633778463116,0.0011,2,0,1
376,1.10848858,1.10386485,1.1130216,1.10725234,-0.00915675,0.00123624,1633778463667,1633778463426,1633778463116,0.0011,0,0,1
377,1.11709134,1.11233999,1.12170894,1.11599325,-0.00936895,0.00109809,1633778824077,1633778823858,1633778823870,0.001,2,1,1
378,1.1189576,1.11233999,1.1236428,1.117395,-0.01130281,0.0015626,1633778825168,1633778824958,1633778825103,0.0014,2,0,1
379,1.13150246,1.12530726,1.13673894,1.13041125,-0.01143168,0.00109121,1633789954579,1633789954354,1633789954353,0.001,2,1,1
380,1.13150246,1.12530726,1.13673894,1.13004079,-0.01143168,0.00146167,1633789954601,1633789954354,1633789954501,0.0013,2,0,0
381,1.13164218,1.12530726,1.13673894,1.13004079,-0.01143168,0.00160139,1633789954673,1633789954452,1633789954501,0.0014,1,0,1
382,1.1311332,1.12530726,1.13673894,1.13004079,-0.01143168,0.00109241,1633789954769,1633789954562,1633789954628,0.001,1,0,1
383,1.13115316,1.12530726,1.13672892,1.13004079,-0.01142166,0.00111237,1633789954871,1633789954654,1633789954628,0.001,2,0,1
384,1.1314326,1.12530726,1.13672892,1.13041125,-0.01142166,0.00102135,1633789954984,1633789954754,1633789954869,0.0009,1,0,1
385,1.13147252,1.12530726,1.13673894,1.13041125,-0.01143168,0.00106127,1633789955077,1633789954854,1633789954869,0.0009,2,0,1
386,1.13152242,1.12530726,1.13673894,1.13041125,-0.01143168,0.00111117,1633789955180,1633789954955,1633789954869,0.001,1,0,1
387,1.13165216,1.12530726,1.13673894,1.13041125,-0.01143168,0.00124091,1633789955269,1633789955045,1633789954869,0.0011,1,0,1
388,1.13166214,1.12530726,1.13673894,1.13041125,-0.01143168,0.00125089,1633789955376,1633789955134,1633789954869,0.0011,1,0,1
389,1.13170206,1.12530726,1.13668884,1.13041125,-0.01138158,0.00129081,1633789955464,1633789955262,1633789954869,0.0011,2,0,1
390,1.1318318,1.12530726,1.13668884,1.13041125,-0.01138158,0.00142055,1633789955577,1633789955365,1633789954869,0.0013,1,0,1
391,1.1319316,1.12530726,1.13724996,1.13041125,-0.0119427,0.00152035,1633789955669,1633789955455,1633789955512,0.0013,2,0,1
392,1.13196154,1.12530726,1.13668784,1.13041125,-0.01138058,0.00155029,1633789955770,1633789955550,1633789955512,0.0014,2,0,1
393,1.13196154,1.12530726,1.13727,1.13041125,-0.01196274,0.00155029,1633789955867,1633789955649,1633789955734,0.0014,0,0,1
394,1.13220106,1.12530726,1.13674896,1.13041125,-0.0114417,0.00178981,1633789955965,1633789955763,1633789955734,0.0016,2,0,1
395,1.13214118,1.12530726,1.13672892,1.13041125,-0.01142166,0.00172993,1633789956067,1633789955848,1633789955734,0.0015,2,0,1
396,1.2156638,1.21074748,1.2205863,1.21445617,-0.00983882,0.00120763,1633848781055,1633848780858,1633848780921,0.001,2,1,1
397,1.21567378,1.21074748,1.22122758,1.21445617,-0.0104801,0.00121761,1633848781173,1633848780958,1633848780921,0.001,2,1,1
398,1.21568376,1.21074748,1.22127768,1.21445617,-0.0105302,0.00122759,1633848781255,1633848781020,1633848781148,0.001,2,1,1
399,1.21569374,1.21074748,1.22127768,1.21445617,-0.0105302,0.00123757,1633848781370,1633848781157,1633848781201,0.001,1,1,1
