Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
51,1.11911728,1.138005,1.1236428,1.14500948,0.0143622,-0.02589219,1631026769357,1631026768783,1631026769259,0.0128,2,0,0
52,1.11887776,1.138005,1.124244,1.14500948,0.013761,-0.02613171,1631026769589,1631026769288,1631026769259,0.0122,2,0,1
53,1.11834882,1.138005,1.124244,1.14500948,0.013761,-0.02666065,1631026769686,1631026769379,1631026769562,0.0122,1,0,1
54,1.11807936,1.138005,1.12280112,1.14500948,0.01520388,-0.02693011,1631026769791,1631026769470,1631026769694,0.0135,2,0,1
55,1.11807936,1.138005,1.1233923,1.14500948,0.0146127,-0.02693011,1631026769857,1631026769588,1631026769770,0.013,0,0,1
56,1.1176602,1.138005,1.12224,1.14500948,0.015765,-0.02734927,1631026769937,1631026769680,1631026769770,0.014,2,0,1
57,1.11744064,1.138005,1.12222998,1.14500948,0.01577502,-0.02756883,1631026770130,1631026769878,1631026769997,0.0141,2,0,1
58,1.1171612,1.138005,1.12177908,1.14500948,0.01622592,-0.02784827,1631026770243,1631026769973,1631026769997,0.0145,2,0,1
59,1.11645262,1.138005,1.12176906,1.14500948,0.01623594,-0.02855685,1631026770752,1631026770584,1631026770590,0.0145,2,0,1
60,1.11585382,1.138005,1.1213382,1.14500948,0.0166668,-0.02915565,1631026770861,1631026770679,1631026770590,0.0149,2,0,1
61,1.11585382,1.138005,1.12132818,1.14500948,0.01667682,-0.02915565,1631026771035,1631026770759,1631026770590,0.0149,0,0,1
62,1.1156143,1.138005,1.121238,1.14500948,0.016767,-0.02939517,1631026771126,1631026770885,1631026770590,0.015,2,0,1
63,1.1156143,1.138005,1.120737,1.14500948,0.017268,-0.02939517,1631026771354,1631026771061,1631026771239,0.0154,0,0,1
64,1.1156143,1.138005,1.12136826,1.14500948,0.01663674,-0.02939517,1631026771638,1631026771388,1631026771299,0.0148,0,0,1
65,1.1156143,1.13713652,1.12136826,1.14500948,0.01576826,-0.02939517,1631026771699,1631026771388,1631026771611,0.0141,0,1,0
66,1.1156143,1.13182583,1.12136826,1.14500948,0.01045757,-0.02939517,1631026771707,1631026771388,1631026771618,0.0093,0,1,0
67,1.1156143,1.13182583,1.12136826,1.13912212,0.01045757,-0.02350782,1631026771708,1631026771388,1631026771618,0.0093,0,0,0
68,1.115265,1.13182583,1.1211378,1.13912212,0.01068803,-0.02385712,1631026771825,1631026771580,1631026771649,0.0095,2,0,1
69,1.11350852,1.13182583,1.11802158,1.13912212,0.01380425,-0.0256136,1631026771967,1631026771761,1631026771649,0.0123,2,0,1
70,1.1130694,1.13182583,1.11802158,1.13912212,0.01380425,-0.02605272,1631026772137,1631026771876,1631026771988,0.0123,1,0,1
71,1.1130195,1.13182583,1.1179314,1.13912212,0.01389443,-0.02610262,1631026772355,1631026772073,1631026771988,0.0124,2,0,1
72,1.1130195,1.13182583,1.1200857,1.13912212,0.01174013,-0.02610262,1631026772465,1631026772193,1631026771988,0.0105,0,0,1
73,1.1130195,1.13182583,1.1179314,1.13912212,0.01389443,-0.02610262,1631026772591,1631026772270,1631026772501,0.0124,0,0,1
74,1.1130195,1.13182583,1.11792138,1.13912212,0.01390445,-0.02610262,1631026772729,1631026772377,1631026772501,0.0124,0,0,1
75,1.1130195,1.13182583,1.1175306,1.13912212,0.01429523,-0.02610262,1631026772819,1631026772449,1631026772501,0.0128,0,0,1
76,1.1130195,1.13182583,1.11752058,1.13912212,0.01430525,-0.02610262,1631026773027,1631026772778,1631026772875,0.0128,0,0,1
77,1.11300952,1.13182583,1.11752058,1.13912212,0.01430525,-0.0261126,1631026773138,1631026772883,1631026772875,0.0128,1,0,1
78,1.11300952,1.13182583,1.1175306,1.13912212,0.01429523,-0.0261126,1631026773233,1631026772970,1631026772875,0.0128,0,0,1
79,1.11300952,1.13181585,1.1175306,1.13912212,0.01428525,-0.0261126,1631026773300,1631026772970,1631026773215,0.0128,0,1,0
80,1.11300952,1.1280225,1.1175306,1.13912212,0.0104919,-0.0261126,1631026773307,1631026772970,1631026773215,0.0094,0,1,0
81,1.0999956,1.11494543,1.1044545,1.12057898,0.01049093,-0.02058338,1631026785603,1631026785356,1631026784860,0.0095,2,1,1
82,1.09983592,1.11494543,1.10437434,1.12057898,0.01057108,-0.02074306,1631026785743,1631026785485,1631026785539,0.0096,2,1,1
83,1.09965628,1.11494543,1.10436432,1.12057898,0.0105811,-0.0209227,1631026785835,1631026785577,1631026785539,0.0096,2,1,1
84,1.09948662,1.11494543,1.1044044,1.12057898,0.01054102,-0.02109236,1631026785947,1631026785770,1631026785539,0.0095,2,1,1
85,1.09948662,1.11494543,1.10408376,1.12057898,0.01086166,-0.02109236,1631026786138,1631026785873,1631026785539,0.0098,0,1,1
86,1.09780998,1.11304875,1.1025993,1.11752516,0.01044945,-0.01971518,1631026786891,1631026786673,1631026786773,0.0095,2,0,1
87,1.09318924,1.10896591,1.09843248,1.11752516,0.01053343,-0.02433592,1631026791637,1631026791381,1631026791376,0.0096,2,1,1
88,1.09318924,1.10896591,1.09847256,1.11752516,0.01049335,-0.02433592,1631026791938,1631026791673,1631026791376,0.0096,0,1,1
89,1.09123316,1.10896591,1.09720002,1.11752516,0.01176589,-0.026292,1631026792356,1631026792176,1631026791376,0.0107,2,1,1
90,1.09123316,1.1080575,1.09720002,1.11752516,0.01085748,-0.026292,1631026792472,1631026792176,1631026792373,0.0099,2,1,0
91,1.09139284,1.1080575,1.09719,1.11752516,0.0108675,-0.02613232,1631026792551,1631026792278,1631026792416,0.0099,2,1,1
92,1.09059444,1.1080575,1.09717998,1.11752516,0.01087752,-0.02693072,1631026792686,1631026792499,1631026792546,0.0099,2,1,1
