Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
451,1.17302924,1.14790764,1.18114758,1.1514375,-0.03323994,0.02159174,1631237069239,1631237068980,1631237068857,0.0188,2,1,1
452,1.17252026,1.14790764,1.17779088,1.1514375,-0.02988324,0.02108276,1631237069346,1631237069080,1631237069215,0.0183,2,1,1
453,1.17306916,1.14790764,1.18023576,1.1514375,-0.03232812,0.02163166,1631237069449,1631237069189,1631237069342,0.0188,2,1,1
454,1.17347834,1.14790764,1.17819168,1.1514375,-0.03028404,0.02204084,1631237069545,1631237069289,1631237069384,0.0191,2,1,1
455,1.17272984,1.14790764,1.1797548,1.1514375,-0.03184716,0.02129234,1631237069647,1631237069383,1631237069384,0.0185,2,1,1
456,1.1708536,1.14790764,1.17698928,1.1514375,-0.02908164,0.0194161,1631237069742,1631237069495,1631237069603,0.0169,2,1,1
457,1.16946638,1.14790764,1.17458448,1.1514375,-0.02667684,0.01802888,1631237070689,1631237070488,1631237070549,0.0157,2,1,1
458,1.16988554,1.14790764,1.17458448,1.1514375,-0.02667684,0.01844804,1631237070767,1631237070583,1631237070549,0.016,1,1,1
459,1.17059412,1.14790764,1.17540612,1.1514375,-0.02749848,0.01915662,1631237070941,1631237070690,1631237070549,0.0166,2,1,1
460,1.17059412,1.14790764,1.17546624,1.1514375,-0.0275586,0.01915662,1631237071042,1631237070787,1631237070549,0.0166,0,1,1
461,1.1710033,1.14790764,1.17570672,1.1514375,-0.02779908,0.0195658,1631237071252,1631237071088,1631237071110,0.017,2,1,1
462,1.17113304,1.14790764,1.17598728,1.1514375,-0.02807964,0.01969554,1631237071445,1631237071187,1631237071110,0.0171,2,1,1
463,1.17163204,1.14790764,1.1767488,1.1514375,-0.02884116,0.02019454,1631237071550,1631237071288,1631237071110,0.0175,2,1,1
464,1.17204122,1.14790764,1.1767488,1.1514375,-0.02884116,0.02060372,1631237071632,1631237071366,1631237071110,0.0179,1,1,1
465,1.17206118,1.14790764,1.17696924,1.1514375,-0.0290616,0.02062368,1631237071827,1631237071588,1631237071601,0.0179,2,1,1
466,1.17243044,1.14790764,1.17868266,1.1514375,-0.03077502,0.02099294,1631237071942,1631237071689,1631237071601,0.0182,2,1,1
467,1.17216098,1.14790764,1.1810574,1.1514375,-0.03314976,0.02072348,1631237072036,1631237071786,1631237071857,0.018,2,1,1
468,1.17262244,1.14790764,1.17808146,1.1514375,-0.03017382,0.02118494,1631237072135,1631237071885,1631237071857,0.0184,2,1,1
469,1.17291946,1.14790764,1.17826182,1.1514375,-0.03035418,0.02148196,1631237072247,1631237071982,1631237072108,0.0187,2,1,1
