Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
1751,1.03017552,1.03818,1.03492572,1.04232128,0.00325428,-0.01214576,1634502074398,1634502074166,1634502074262,0.0031,2,0,1
1752,1.03022542,1.03818,1.03475538,1.04232128,0.00342462,-0.01209586,1634502074501,1634502074257,1634502074288,0.0033,2,0,1
1753,1.03017552,1.03818,1.03489566,1.04232128,0.00328434,-0.01214576,1634502074610,1634502074349,1634502074288,0.0032,2,0,1
1754,1.0303851,1.03818,1.03465518,1.04232128,0.00352482,-0.01193617,1634502074723,1634502074558,1634502074288,0.0034,2,0,1
1755,1.0307843,1.03818,1.03535658,1.04232128,0.00282342,-0.01153698,1634502074921,1634502074656,1634502074288,0.0027,2,0,1
1756,1.03017552,1.03818,1.03492572,1.04232128,0.00325428,-0.01214576,1634502075008,1634502074757,1634502074844,0.0031,2,0,1
1757,1.03017552,1.03818,1.0349658,1.04232128,0.0032142,-0.01214576,1634502075128,1634502074856,1634502074844,0.0031,0,0,1
1758,1.03017552,1.03818,1.03564716,1.04232128,0.00253284,-0.01214576,1634502075210,1634502074947,1634502075073,0.0024,0,0,1
1759,1.03017552,1.03818998,1.03564716,1.04232128,0.00254282,-0.01214576,1634502075443,1634502074947,1634502075263,0.0025,0,1,0
1760,1.03017552,1.03818,1.03564716,1.04232128,0.00253284,-0.01214576,1634502076197,1634502074947,1634502076066,0.0024,0,1,0
1761,1.02296996,1.03318875,1.02738066,1.03661415,0.00580809,-0.01364419,1634502084822,1634502084657,1634502084544,0.0057,2,0,1
1762,1.02239112,1.03318875,1.02899388,1.03661415,0.00419487,-0.01422303,1634502084941,1634502084769,1634502084544,0.0041,2,0,1
1763,1.02228134,1.03318875,1.03068726,1.03661415,0.00250149,-0.01433281,1634502085141,1634502084967,1634502084869,0.0024,2,0,1
1764,1.02242106,1.03318875,1.02898386,1.03661415,0.00420489,-0.01419309,1634502085310,1634502085056,1634502085059,0.0041,2,0,1
1765,1.0222514,1.03318875,1.02897384,1.03661415,0.00421491,-0.01436275,1634502085419,1634502085155,1634502085234,0.0041,2,0,1
1766,1.02308972,1.03318875,1.02788166,1.03661415,0.00530709,-0.01352443,1634502085519,1634502085355,1634502085234,0.0052,2,0,1
1767,1.02196198,1.03318875,1.02784158,1.03661415,0.00534717,-0.01465217,1634502085715,1634502085457,1634502085234,0.0052,2,0,1
1768,1.02132326,1.03318875,1.02784158,1.03661415,0.00534717,-0.01529089,1634502085812,1634502085555,1634502085234,0.0052,1,0,1
1769,1.02166258,1.03318875,1.02782154,1.03661415,0.00536721,-0.01495157,1634502085927,1634502085754,1634502085787,0.0052,2,0,1
1770,1.02259072,1.03318875,1.02768126,1.03661415,0.00550749,-0.01402343,1634502086140,1634502085960,1634502085992,0.0054,2,0,1
1771,1.02136318,1.03318875,1.0257975,1.03661415,0.00739125,-0.01525097,1634502086317,1634502086065,1634502086084,0.0072,2,0,1
1772,1.020954,1.03318875,1.02744078,1.03661415,0.00574797,-0.01566015,1634502086428,1634502086254,1634502086290,0.0056,2,0,1
1773,1.020954,1.03318875,1.02621834,1.03661415,0.00697041,-0.01566015,1634502086525,1634502086353,1634502086313,0.0068,0,0,1
1774,1.02081428,1.03318875,1.02576744,1.03661415,0.00742131,-0.01579987,1634502086700,1634502086456,1634502086313,0.0072,2,0,1
1775,1.02081428,1.0281975,1.02576744,1.03661415,0.00243006,-0.01579987,1634502086744,1634502086456,1634502086595,0.0024,2,1,0
1776,1.02081428,1.0281975,1.02576744,1.03629375,0.00243006,-0.01547947,1634502086749,1634502086456,1634502086597,0.0024,2,0,0
1777,1.02042506,1.0281975,1.02576744,1.03629375,0.00243006,-0.01586869,1634502086815,1634502086556,1634502086597,0.0024,1,0,1
