Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
451,1.09019524,1.098075,1.09534632,1.1022561,0.00272868,-0.01206086,1634007355791,1634007355552,1634007355308,0.0025,2,0,1
452,1.0902152,1.098075,1.09584732,1.1022561,0.00222768,-0.0120409,1634007355918,1634007355650,1634007355308,0.002,2,0,1
453,1.09140282,1.098075,1.09594752,1.1022561,0.00212748,-0.01085328,1634007357091,1634007356867,1634007356473,0.0019,2,0,1
454,1.09140282,1.098075,1.0957872,1.1022561,0.0022878,-0.01085328,1634007357281,1634007357061,1634007356473,0.0021,0,0,1
455,1.09140282,1.098075,1.0958373,1.1022561,0.0022377,-0.01085328,1634007357389,1634007357164,1634007356473,0.002,0,0,1
456,1.09145272,1.098075,1.09587638,1.1022561,0.00219862,-0.01080338,1634007357493,1634007357257,1634007356473,0.002,2,0,1
457,1.09140282,1.098075,1.09587638,1.1022561,0.00219862,-0.01085328,1634007357697,1634007357467,1634007356473,0.002,1,0,1
458,1.09123416,1.098075,1.09561686,1.1022561,0.00245814,-0.01102194,1634007357794,1634007357566,1634007356473,0.0022,2,0,1
459,1.09122418,1.098075,1.09569702,1.1022561,0.00237798,-0.01103192,1634007357891,1634007357657,1634007356473,0.0022,2,0,1
460,1.09098466,1.098075,1.09561686,1.1022561,0.00245814,-0.01127144,1634007358001,1634007357767,1634007356473,0.0022,2,0,1
461,1.09089384,1.098075,1.09565594,1.1022561,0.00241906,-0.01136226,1634007358083,1634007357867,1634007356473,0.0022,2,0,1
462,1.09119324,1.098075,1.09565594,1.1022561,0.00241906,-0.01106286,1634007358184,1634007357968,1634007356473,0.0022,1,0,1
463,1.09127308,1.098075,1.09565594,1.1022561,0.00241906,-0.01098302,1634007358477,1634007358262,1634007356473,0.0022,1,0,1
464,1.09133296,1.098075,1.09584632,1.1022561,0.00222868,-0.01092314,1634007358600,1634007358356,1634007356473,0.002,2,0,1
465,1.09127408,1.098075,1.09565594,1.1022561,0.00241906,-0.01098202,1634007358681,1634007358456,1634007356473,0.0022,2,0,1
