Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
451,1.13633478,1.1308176,1.1410776,1.13468659,-0.01026,0.00164819,1634188189315,1634188189063,1634188188757,0.0015,0,1,1
452,1.13640264,1.1308176,1.1410776,1.13468659,-0.01026,0.00171605,1634188189420,1634188189144,1634188188757,0.0015,1,1,1
453,1.13633577,1.1308176,1.1410776,1.13468659,-0.01026,0.00164919,1634188189519,1634188189263,1634188188757,0.0015,1,1,1
454,1.13636272,1.1308176,1.1410776,1.13468659,-0.01026,0.00167613,1634188189619,1634188189358,1634188188757,0.0015,1,1,1
455,1.1363727,1.1308176,1.14093732,1.13468659,-0.01011972,0.00168611,1634188189717,1634188189456,1634188189558,0.0015,2,1,1
456,1.13638268,1.1308176,1.1410776,1.13468659,-0.01026,0.00169609,1634188189818,1634188189564,1634188189558,0.0015,2,1,1
457,1.13650244,1.1308176,1.1410776,1.13468659,-0.01026,0.00181585,1634188189910,1634188189661,1634188189719,0.0016,1,1,1
458,1.13651342,1.1308176,1.14116778,1.13468659,-0.01035018,0.00182683,1634188190022,1634188189763,1634188189719,0.0016,2,1,1
459,1.13651242,1.1308176,1.14116778,1.13468659,-0.01035018,0.00182583,1634188190115,1634188189863,1634188189719,0.0016,1,1,1
460,1.13660224,1.1308176,1.14119784,1.13468659,-0.01038024,0.00191565,1634188190410,1634188190164,1634188189719,0.0017,2,1,1
461,1.13659226,1.1308176,1.14119784,1.13468659,-0.01038024,0.00190567,1634188190512,1634188190267,1634188189719,0.0017,1,1,1
462,1.13671202,1.1308176,1.14130806,1.13468659,-0.01049046,0.00202543,1634188190608,1634188190366,1634188190439,0.0018,2,1,1
463,1.13673198,1.1308176,1.14130806,1.13468659,-0.01049046,0.00204539,1634188190717,1634188190457,1634188190526,0.0018,1,1,1
464,1.13674196,1.1308176,1.14130806,1.13468659,-0.01049046,0.00205537,1634188190809,1634188190556,1634188190526,0.0018,1,1,1
465,1.13674196,1.1308176,1.14161868,1.13468659,-0.01080108,0.00205537,1634188190909,1634188190666,1634188190526,0.0018,0,1,1
466,1.13675194,1.1308176,1.1415285,1.13468659,-0.0107109,0.00206535,1634188191019,1634188190761,1634188190837,0.0018,2,1,1
467,1.13686172,1.1308176,1.1415285,1.13468659,-0.0107109,0.00217513,1634188191118,1634188190863,1634188190837,0.0019,1,1,1
468,1.1368717,1.1308176,1.1415285,1.13468659,-0.0107109,0.00218511,1634188191212,1634188190951,1634188190837,0.0019,1,1,1
469,1.13773996,1.1308176,1.14286116,1.13468659,-0.01204356,0.00305337,1634188192595,1634188192359,1634188191895,0.0027,2,1,1
470,1.13820902,1.1308176,1.14309162,1.13468659,-0.01227402,0.00352243,1634188192727,1634188192466,1634188191895,0.0031,2,1,1
471,1.13760024,1.1308176,1.14304152,1.13468659,-0.01222392,0.00291365,1634188192821,1634188192561,1634188192644,0.0026,2,1,1
472,1.13815912,1.1308176,1.1429814,1.13468659,-0.0121638,0.00347253,1634188192912,1634188192666,1634188192644,0.0031,2,1,1
473,1.13805932,1.1308176,1.1429814,1.13468659,-0.0121638,0.00337273,1634188193421,1634188193156,1634188192912,0.003,1,1,1
474,1.13807928,1.1308176,1.1429814,1.13468659,-0.0121638,0.00339269,1634188193506,1634188193243,1634188192912,0.003,1,1,1
475,1.1381691,1.1308176,1.14304152,1.13468659,-0.01222392,0.00348251,1634188193623,1634188193359,1634188192912,0.0031,2,1,1
476,1.13816012,1.1308176,1.14289122,1.13468659,-0.01207362,0.00347353,1634188193724,1634188193453,1634188192912,0.0031,2,1,1
477,1.13778986,1.1308176,1.1427309,1.13468659,-0.0119133,0.00310327,1634188193821,1634188193564,1634188193705,0.0027,2,1,1
478,1.13790962,1.1308176,1.1427309,1.13468659,-0.0119133,0.00322303,1634188194321,1634188194070,1634188193930,0.0028,1,1,1
479,1.13788966,1.1308176,1.14271086,1.13468659,-0.01189326,0.00320307,1634188194411,1634188194169,1634188193930,0.0028,2,1,1
480,1.1378198,1.1308176,1.1425806,1.13468659,-0.011763,0.00313321,1634188194513,1634188194265,1634188194350,0.0028,2,1,1
481,1.13782978,1.1308176,1.1425806,1.13468659,-0.011763,0.00314319,1634188194613,1634188194376,1634188194350,0.0028,1,1,1
482,1.13780982,1.1308176,1.1426808,1.13468659,-0.0118632,0.00312323,1634188194718,1634188194464,1634188194350,0.0028,2,1,1
483,1.13780982,1.1308176,1.1425806,1.13468659,-0.011763,0.00312323,1634188194914,1634188194666,1634188194725,0.0028,0,1,1
484,1.13780982,1.1308176,1.1426808,1.13468659,-0.0118632,0.00312323,1634188195011,1634188194761,1634188194725,0.0028,0,1,1
485,1.13780982,1.1308176,1.14255054,1.13468659,-0.01173294,0.00312323,1634188195117,1634188194866,1634188194979,0.0028,0,1,1
486,1.13784974,1.1308176,1.1425806,1.13468659,-0.011763,0.00316315,1634188195212,1634188194966,1634188194979,0.0028,2,1,1
487,1.13797948,1.1308176,1.1429313,1.13468659,-0.0121137,0.00329289,1634188195326,1634188195062,1634188195105,0.0029,2,1,1
488,1.13798946,1.1308176,1.1429313,1.13468659,-0.0121137,0.00330287,1634188195415,1634188195167,1634188195105,0.0029,1,1,1
489,1.13799944,1.1308176,1.1429313,1.13468659,-0.0121137,0.00331285,1634188195519,1634188195259,1634188195338,0.0029,1,1,1
490,1.13813916,1.1308176,1.1429313,1.13468659,-0.0121137,0.00345257,1634188195606,1634188195365,1634188195338,0.003,1,1,1
491,1.13815912,1.1308176,1.1429313,1.13468659,-0.0121137,0.00347253,1634188195722,1634188195465,1634188195338,0.0031,1,1,1
492,1.13820902,1.1308176,1.1429313,1.13468659,-0.0121137,0.00352243,1634188195935,1634188195557,1634188195338,0.0031,1,1,1
493,1.13869804,1.1308176,1.1441838,1.13468659,-0.0133662,0.00401145,1634188197448,1634188197265,1634188197221,0.0035,2,1,1
494,1.13899744,1.1308176,1.1441838,1.13468659,-0.0133662,0.00431085,1634188197620,1634188197361,1634188197221,0.0038,1,1,1
495,1.13913716,1.1308176,1.1441337,1.13468659,-0.0133161,0.00445057,1634188197735,1634188197565,1634188197221,0.0039,2,1,1
496,1.13920702,1.1308176,1.1441337,1.13468659,-0.0133161,0.00452043,1634188197918,1634188197665,1634188197221,0.004,1,1,1
497,1.13938666,1.1308176,1.1441337,1.13468659,-0.0133161,0.00470007,1634188198019,1634188197714,1634188197221,0.0041,1,1,1
498,1.13938666,1.1308176,1.1440836,1.13468659,-0.013266,0.00470007,1634188198307,1634188198065,1634188198082,0.0041,0,1,1
499,1.13930682,1.1308176,1.1440836,1.13468659,-0.013266,0.00462023,1634188198417,1634188198166,1634188198258,0.0041,1,1,1
500,1.13930782,1.1308176,1.14412368,1.13468659,-0.01330608,0.00462123,1634188198513,1634188198265,1634188198258,0.0041,2,1,1
