Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
402,1.21798914,1.2105079,1.22333178,1.21661888,-0.01282388,0.00137026,1633848840973,1633848840767,1633848840861,0.0011,1,0,1
403,1.21802906,1.2105079,1.22333178,1.21661888,-0.01282388,0.00141018,1633848841074,1633848840853,1633848840861,0.0012,1,0,1
404,1.21806898,1.2105079,1.22333178,1.21661888,-0.01282388,0.0014501,1633848841163,1633848840967,1633848840861,0.0012,1,0,1
405,1.21807896,1.2105079,1.22355222,1.21661888,-0.01304432,0.00146009,1633848841259,1633848841063,1633848841107,0.0012,2,0,1
406,1.21816878,1.2105079,1.22355222,1.21661888,-0.01304432,0.00154991,1633848841358,1633848841166,1633848841227,0.0013,1,0,1
407,1.21817876,1.2105079,1.22355222,1.21661888,-0.01304432,0.00155989,1633848841569,1633848841252,1633848841376,0.0013,1,0,1
408,1.15521494,1.16096475,1.15985508,1.16516464,0.00110967,-0.0099497,1633899847471,1633899847247,1633899847329,0.001,0,0,1
409,1.1544864,1.16096475,1.15972482,1.16516464,0.00123993,-0.01067824,1633899847571,1633899847360,1633899847459,0.0011,2,0,1
410,1.1544864,1.16096475,1.1597148,1.16516464,0.00124995,-0.01067824,1633899847659,1633899847466,1633899847459,0.0011,0,0,1
411,1.15476584,1.16096475,1.15970478,1.16516464,0.00125997,-0.0103988,1633899847767,1633899847548,1633899847459,0.0011,2,0,1
412,1.15337862,1.16096475,1.15949436,1.16516464,0.00147039,-0.01178602,1633899847851,1633899847649,1633899847725,0.0013,2,0,1
413,1.15437662,1.16096475,1.15969476,1.16516464,0.00126999,-0.01078802,1633899847968,1633899847752,1633899847725,0.0011,2,0,1
414,1.15435666,1.16096475,1.15948434,1.16516464,0.00148041,-0.01080798,1633899848068,1633899847861,1633899847957,0.0013,2,0,1
415,1.13945652,1.1479875,1.1454363,1.15375039,0.0025512,-0.01429387,1633899895432,1633899895254,1633899895231,0.0022,2,0,1
416,1.13977588,1.1479875,1.14480504,1.15375039,0.00318246,-0.01397451,1633899895581,1633899895354,1633899895231,0.0028,2,0,1
417,1.13977588,1.1479875,1.14470484,1.15375039,0.00328266,-0.01397451,1633899895667,1633899895450,1633899895231,0.0029,0,0,1
418,1.13999544,1.1479875,1.1455365,1.15375039,0.002451,-0.01375495,1633899895770,1633899895557,1633899895231,0.0021,2,0,1
419,1.14040462,1.1479875,1.14510564,1.15375039,0.00288186,-0.01334577,1633899895862,1633899895652,1633899895231,0.0025,2,0,1
420,1.14040462,1.1479875,1.1449854,1.15375039,0.0030021,-0.01334577,1633899895956,1633899895753,1633899895847,0.0026,0,0,1
421,1.13945652,1.1479875,1.14475494,1.15375039,0.00323256,-0.01429387,1633899896079,1633899895856,1633899895847,0.0028,2,0,1
422,1.13938666,1.1479875,1.14475494,1.15375039,0.00323256,-0.01436373,1633899896150,1633899895948,1633899896026,0.0028,1,0,1
423,1.13948646,1.1479875,1.14464472,1.15375039,0.00334278,-0.01426393,1633899896264,1633899896056,1633899896026,0.0029,2,0,1
424,1.13938666,1.1479875,1.14470484,1.15375039,0.00328266,-0.01436373,1633899896401,1633899896158,1633899896286,0.0029,2,0,1
425,1.13938666,1.1479875,1.1446347,1.15375039,0.0033528,-0.01436373,1633899896484,1633899896255,1633899896286,0.0029,0,0,1
