Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
1703,1.03817948,1.05315375,1.04421426,1.06441886,0.00893949,-0.02623938,1634502052513,1634502051041,1634502052391,0.0086,0,0,0
1704,1.03817948,1.05315375,1.04421426,1.06618106,0.00893949,-0.02800158,1634502052517,1634502051041,1634502052399,0.0086,0,0,0
1705,1.03817948,1.04985953,1.04421426,1.06618106,0.00564527,-0.02800158,1634502052940,1634502051041,1634502052822,0.0054,0,1,0
1706,1.03817948,1.04985953,1.04421426,1.05631875,0.00564527,-0.01813927,1634502052945,1634502051041,1634502052822,0.0054,0,0,0
1707,1.03817948,1.0481625,1.04421426,1.05631875,0.00394824,-0.01813927,1634502052955,1634502051041,1634502052831,0.0038,0,1,0
1708,1.03817948,1.0481625,1.04421426,1.05167295,0.00394824,-0.01349347,1634502052966,1634502051041,1634502052833,0.0038,0,0,0
1709,1.03934714,1.0481625,1.04455494,1.05167295,0.00360756,-0.01232581,1634502053193,1634502052940,1634502053073,0.0035,2,0,1
1710,1.03950682,1.0481625,1.0443846,1.05167295,0.0037779,-0.01216613,1634502053298,1634502053057,1634502053088,0.0036,2,0,1
1711,1.03939704,1.0481625,1.04485554,1.05167295,0.00330696,-0.01227591,1634502053329,1634502053145,1634502053088,0.0032,2,0,1
1712,1.03934467,1.0481625,1.04459502,1.05167295,0.00356748,-0.01232828,1634502053419,1634502053236,1634502053088,0.0034,2,0,1
1713,1.0383691,1.0481625,1.04482548,1.05167295,0.00333702,-0.01330385,1634502053621,1634502053446,1634502053088,0.0032,2,0,1
1714,1.03848886,1.0481625,1.04449482,1.05167295,0.00366768,-0.01318409,1634502053818,1634502053530,1634502053696,0.0035,2,0,1
1715,1.03962658,1.0481625,1.04402388,1.05167295,0.00413862,-0.01204637,1634502053901,1634502053637,1634502053776,0.004,2,0,1
1716,1.0413132,1.0481625,1.04632848,1.05167295,0.00183402,-0.01035975,1634502054003,1634502053748,1634502053795,0.0018,2,0,1
1717,1.04127328,1.0481625,1.04631846,1.05167295,0.00184404,-0.01039967,1634502054119,1634502053848,1634502053980,0.0018,2,0,1
1718,1.04037508,1.0481625,1.04545674,1.05167295,0.00270576,-0.01129787,1634502054229,1634502054036,1634502054068,0.0026,2,0,1
1719,1.04037508,1.0481625,1.0467894,1.05167295,0.0013731,-0.01129787,1634502054462,1634502054144,1634502054255,0.0013,0,0,1
1720,1.040415,1.0481625,1.04616816,1.05167295,0.00199434,-0.01125795,1634502054496,1634502054240,1634502054255,0.0019,2,0,1
1721,1.040415,1.0481625,1.0467894,1.05167295,0.0013731,-0.01125795,1634502054612,1634502054337,1634502054255,0.0013,0,0,1
1722,1.04043496,1.0481625,1.04572728,1.05167295,0.00243522,-0.01123799,1634502054706,1634502054440,1634502054550,0.0023,2,0,1
1723,1.04459662,1.05104744,1.04890576,1.06031374,0.00214168,-0.01571712,1634502065503,1634502065248,1634502065324,0.002,2,1,1
1724,1.04471638,1.05104744,1.04890576,1.06031374,0.00214168,-0.01559736,1634502065721,1634502065549,1634502065324,0.002,1,1,1
1725,1.03665254,1.04317125,1.0408275,1.04663666,0.00234375,-0.00998412,1634502069731,1634502069552,1634502069441,0.0023,2,0,1
1726,1.03584416,1.04317125,1.0408275,1.04663666,0.00234375,-0.0107925,1634502069896,1634502069645,1634502069713,0.0023,1,0,1
1727,1.03558468,1.04317125,1.04099784,1.04663666,0.00217341,-0.01105198,1634502070005,1634502069747,1634502069713,0.0021,2,0,1
1728,1.0364729,1.04317125,1.04123832,1.04663666,0.00193293,-0.01016376,1634502070129,1634502069951,1634502069958,0.0019,2,0,1
