Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
151,1.06015544,1.06637058,1.06475526,1.08135,0.00161532,-0.02119456,1633663557263,1633663557056,1633663554986,0.0015,1,1,1
152,1.06015544,1.06637058,1.06469514,1.08135,0.00167544,-0.02119456,1633663557855,1633663557653,1633663554986,0.0016,0,1,1
153,1.0600257,1.06637058,1.06469514,1.08135,0.00167544,-0.0213243,1633663564168,1633663563736,1633663562466,0.0016,1,1,1
154,1.0600257,1.06637058,1.064625,1.08135,0.00174558,-0.0213243,1633663564652,1633663564457,1633663562466,0.0016,0,1,1
155,1.05881812,1.0663606,1.0633725,1.08133999,0.0029881,-0.02252187,1633663744597,1633663743717,1633663744490,0.0028,0,0,0
156,1.0588281,1.0663606,1.0634727,1.08133999,0.0028879,-0.02251189,1633663744668,1633663744451,1633663744490,0.0027,2,0,1
157,1.05881812,1.0663606,1.0634226,1.08133999,0.002938,-0.02252187,1633663744758,1633663744521,1633663744490,0.0028,2,0,1
158,1.05881812,1.0663606,1.06339254,1.08133999,0.00296806,-0.02252187,1633663747053,1633663746854,1633663744490,0.0028,0,0,1
159,1.05881812,1.0663606,1.0634727,1.08133999,0.0028879,-0.02252187,1633663747157,1633663746876,1633663744490,0.0027,0,0,1
160,1.05881812,1.0663606,1.0634717,1.08133999,0.0028889,-0.02252187,1633663750930,1633663750754,1633663744490,0.0027,0,0,1
161,1.05871832,1.0663606,1.06308192,1.08133999,0.00327868,-0.02262167,1633663751053,1633663750859,1633663744490,0.0031,2,0,1
162,1.05843888,1.0663606,1.06305186,1.08133999,0.00330874,-0.02290111,1633663751163,1633663750957,1633663744490,0.0031,2,0,1
163,1.0602253,1.06753853,1.06450476,1.08333248,0.00303377,-0.02310718,1633664008526,1633664007376,1633664008463,0.0028,1,0,0
164,1.0601255,1.06753853,1.06449474,1.08333248,0.00304379,-0.02320698,1633664009078,1633664008816,1633664008463,0.0029,2,0,1
165,1.06016542,1.06753853,1.06449474,1.08333248,0.00304379,-0.02316706,1633664013651,1633664013443,1633664012746,0.0029,1,0,1
166,1.06011552,1.06753853,1.06450476,1.08333248,0.00303377,-0.02321695,1633664013757,1633664013557,1633664012746,0.0028,2,0,1
167,1.06019536,1.06753853,1.06450476,1.08333248,0.00303377,-0.02313711,1633664013858,1633664013630,1633664012746,0.0028,1,0,1
168,1.06024526,1.06753853,1.06450476,1.08333248,0.00303377,-0.02308721,1633664018650,1633664018432,1633664012746,0.0028,1,0,1
169,1.06021532,1.06753853,1.06450476,1.08333248,0.00303377,-0.02311715,1633664018953,1633664018741,1633664012746,0.0028,1,0,1
170,1.06024526,1.06753853,1.06450476,1.08333248,0.00303377,-0.02308721,1633664019060,1633664018861,1633664012746,0.0028,1,0,1
171,1.06024526,1.06753853,1.06483542,1.08333248,0.00270311,-0.02308721,1633664019550,1633664019352,1633664012746,0.0025,0,0,1
172,1.06034506,1.06753853,1.06494564,1.08333248,0.00259289,-0.02298742,1633664019655,1633664019457,1633664012746,0.0024,2,0,1
173,1.06039496,1.06753853,1.06496568,1.08333248,0.00257285,-0.02293751,1633664019751,1633664019558,1633664012746,0.0024,2,0,1
174,1.06041492,1.06753853,1.06494564,1.08333248,0.00259289,-0.02291755,1633664020450,1633664020246,1633664012746,0.0024,2,0,1
175,1.06041492,1.06753853,1.06513602,1.08333248,0.00240251,-0.02291755,1633664021532,1633664021295,1633664012746,0.0023,0,0,1
176,1.0604249,1.06753853,1.06504584,1.08333248,0.00249269,-0.02290757,1633664021963,1633664021745,1633664012746,0.0023,2,0,1
177,1.06043488,1.06753853,1.06499574,1.08333248,0.00254279,-0.0228976,1633664023464,1633664023240,1633664012746,0.0024,2,0,1
